data name: kinship
model name: HRAN
learning rate: 0.001
entity dimension: 100
relation dimension: 100
batch size: 128
decay rate: 1.0
label smoothing: 0
convolution parameters: {'input_dropout': 0.2, 'hidden_dropout': 0.3, 'feature_map_dropout': 0.3, 'in_channels': 1, 'out_channels': 36, 'filt_height': 2, 'filt_width': 5}

Epoch	MR	MRR	Hits1	Hits3	Hits10	Best_MR	Best_MRR	Best_Hits1	Best_Hits3	Best_Hits10
600	1.81	0.876	0.804	0.940	0.984	1.71	0.884	0.818	0.949	0.989
603	1.78	0.873	0.799	0.940	0.985	1.71	0.884	0.818	0.949	0.989
606	1.81	0.870	0.793	0.944	0.985	1.71	0.884	0.818	0.949	0.989
609	1.79	0.874	0.800	0.944	0.985	1.71	0.884	0.818	0.949	0.989
612	1.78	0.875	0.802	0.944	0.986	1.71	0.884	0.818	0.949	0.989
615	1.80	0.876	0.806	0.941	0.985	1.71	0.884	0.818	0.949	0.989
618	1.77	0.879	0.809	0.941	0.984	1.71	0.884	0.818	0.949	0.989
621	1.79	0.872	0.797	0.941	0.985	1.71	0.884	0.818	0.949	0.989
624	1.78	0.875	0.801	0.944	0.986	1.71	0.884	0.818	0.949	0.989
627	1.80	0.874	0.800	0.945	0.986	1.71	0.884	0.818	0.949	0.989
630	1.80	0.871	0.794	0.940	0.986	1.71	0.884	0.818	0.949	0.989
633	1.79	0.876	0.804	0.938	0.985	1.71	0.884	0.818	0.949	0.989
636	1.78	0.869	0.791	0.943	0.986	1.71	0.884	0.818	0.949	0.989
639	1.77	0.879	0.811	0.940	0.986	1.71	0.884	0.818	0.949	0.989
642	1.77	0.877	0.806	0.943	0.986	1.71	0.884	0.818	0.949	0.989
645	1.80	0.876	0.804	0.941	0.986	1.71	0.884	0.818	0.949	0.989
648	1.81	0.877	0.805	0.941	0.986	1.71	0.884	0.818	0.949	0.989
651	1.80	0.877	0.807	0.941	0.986	1.71	0.884	0.818	0.949	0.989
654	1.79	0.879	0.811	0.943	0.984	1.71	0.884	0.818	0.949	0.989
657	1.80	0.875	0.804	0.937	0.986	1.71	0.884	0.818	0.949	0.989
660	1.81	0.873	0.801	0.941	0.984	1.71	0.884	0.818	0.949	0.989
663	1.81	0.877	0.806	0.939	0.986	1.71	0.884	0.818	0.949	0.989
666	1.81	0.873	0.800	0.939	0.986	1.71	0.884	0.818	0.949	0.989
669	1.81	0.875	0.801	0.940	0.987	1.71	0.884	0.818	0.949	0.989
672	1.82	0.875	0.802	0.938	0.985	1.71	0.884	0.818	0.949	0.989
675	1.82	0.877	0.806	0.939	0.986	1.71	0.884	0.818	0.949	0.989
678	1.79	0.879	0.810	0.942	0.984	1.71	0.884	0.818	0.949	0.989
681	1.78	0.876	0.803	0.945	0.985	1.71	0.884	0.818	0.949	0.989
684	1.76	0.877	0.804	0.941	0.986	1.71	0.884	0.818	0.949	0.989
687	1.78	0.874	0.798	0.941	0.984	1.71	0.884	0.818	0.949	0.989
690	1.80	0.873	0.797	0.942	0.984	1.71	0.884	0.818	0.949	0.989
693	1.79	0.877	0.804	0.943	0.984	1.71	0.884	0.818	0.949	0.989
696	1.80	0.874	0.799	0.939	0.984	1.71	0.884	0.818	0.949	0.989
699	1.79	0.878	0.809	0.935	0.985	1.71	0.884	0.818	0.949	0.989
702	1.77	0.881	0.813	0.939	0.986	1.71	0.884	0.818	0.949	0.989
705	1.80	0.875	0.803	0.939	0.986	1.71	0.884	0.818	0.949	0.989
708	1.81	0.874	0.800	0.940	0.984	1.71	0.884	0.818	0.949	0.989
711	1.83	0.876	0.807	0.937	0.984	1.71	0.884	0.818	0.949	0.989
714	1.81	0.873	0.801	0.936	0.984	1.71	0.884	0.818	0.949	0.989
717	1.81	0.876	0.803	0.935	0.984	1.71	0.884	0.818	0.949	0.989
720	1.80	0.873	0.801	0.932	0.984	1.71	0.884	0.818	0.949	0.989
