data name: umls
model name: HRAN
learning rate: 0.001
entity dimension: 100
relation dimension: 100
batch size: 128
decay rate: 1.0
label smoothing: 0
convolution parameters: {'input_dropout': 0.2, 'hidden_dropout': 0.3, 'feature_map_dropout': 0.3, 'in_channels': 1, 'out_channels': 36, 'filt_height': 2, 'filt_width': 5}

Epoch	MR	MRR	Hits1	Hits3	Hits10	Best_MR	Best_MRR	Best_Hits1	Best_Hits3	Best_Hits10
705	1.24	0.966	0.948	0.982	0.994	1.12	0.979	0.967	0.992	0.998
708	1.21	0.967	0.948	0.981	0.997	1.12	0.979	0.967	0.992	0.998
711	1.19	0.969	0.949	0.985	0.995	1.12	0.979	0.967	0.992	0.998
714	1.24	0.967	0.949	0.980	0.994	1.12	0.979	0.967	0.992	0.998
717	1.22	0.969	0.954	0.982	0.995	1.12	0.979	0.967	0.992	0.998
720	1.22	0.967	0.948	0.983	0.994	1.12	0.979	0.967	0.992	0.998
723	1.27	0.965	0.948	0.979	0.995	1.12	0.979	0.967	0.992	0.998
726	1.23	0.963	0.941	0.982	0.996	1.12	0.979	0.967	0.992	0.998
729	1.21	0.967	0.947	0.984	0.995	1.12	0.979	0.967	0.992	0.998
732	1.19	0.965	0.943	0.986	0.995	1.12	0.979	0.967	0.992	0.998
735	1.21	0.963	0.943	0.980	0.995	1.12	0.979	0.967	0.992	0.998
738	1.32	0.959	0.937	0.976	0.992	1.12	0.979	0.967	0.992	0.998
741	1.29	0.961	0.939	0.983	0.993	1.12	0.979	0.967	0.992	0.998
744	1.30	0.962	0.943	0.980	0.992	1.12	0.979	0.967	0.992	0.998
747	1.23	0.966	0.947	0.983	0.995	1.12	0.979	0.967	0.992	0.998
750	1.31	0.966	0.949	0.980	0.993	1.12	0.979	0.967	0.992	0.998
753	1.24	0.966	0.949	0.980	0.995	1.12	0.979	0.967	0.992	0.998
756	1.26	0.963	0.943	0.980	0.994	1.12	0.979	0.967	0.992	0.998
759	1.23	0.969	0.952	0.981	0.994	1.12	0.979	0.967	0.992	0.998
762	1.20	0.969	0.951	0.984	0.995	1.12	0.979	0.967	0.992	0.998
765	1.21	0.968	0.950	0.983	0.997	1.12	0.979	0.967	0.992	0.998
768	1.22	0.964	0.943	0.980	0.997	1.12	0.979	0.967	0.992	0.998
771	1.21	0.968	0.951	0.982	0.996	1.12	0.979	0.967	0.992	0.998
774	1.20	0.967	0.949	0.983	0.996	1.12	0.979	0.967	0.992	0.998
777	1.20	0.969	0.952	0.983	0.996	1.12	0.979	0.967	0.992	0.998
780	1.20	0.967	0.949	0.983	0.996	1.12	0.979	0.967	0.992	0.998
783	1.18	0.971	0.955	0.986	0.998	1.12	0.979	0.967	0.992	0.998
786	1.16	0.974	0.960	0.985	0.998	1.12	0.979	0.967	0.992	0.998
789	1.18	0.970	0.952	0.986	0.995	1.12	0.979	0.967	0.992	0.998
792	1.21	0.962	0.939	0.982	0.996	1.12	0.979	0.967	0.992	0.998
